candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
351972 WT.unt.1_49953	294		305127	99.70	294
352049 WT.unt.2_63418	293		330118	96.20	293
352171 WT.unt.7_84742	294		271544	95.20	294
352222 WT.unt.7_82324	293		522863	96.20	293
352445 WT.unt.3_66234	294		529506	94.20	294
352509 WT.unt.2_59432	294		197460	88.40	294
352612 WT.unt.4_73357	294		261016	93.50	294
352789 WT.day3.9_39697	244		171617	90.60	244
352799 WT.unt.4_77801	294		216888	95.20	294
352829 WT.unt.2_63305	223		340937	95.10	223
353012 WT.unt.1_45826	294		233435	91.20	294
353593 WT.unt.1_47878	294		181717	93.50	294
353782 WT.day3.13_17014	244		194286	95.10	244
353820 WT.unt.1_45989	268		529506	94.80	268
353923 WT.unt.1_45712	294		529506	94.90	294
353982 WT.unt.1_46074	294		263546	90.80	294
354032 WT.unt.3_64127	293		297872	95.20	293
354097 WT.unt.1_50189	294		529506	96.90	294
354144 WT.unt.2_57930	294		182420	92.90	294
354163 WT.unt.7_86090	290		529506	93.40	290
354662 WT.unt.1_47449	294		529506	91.20	294
354905 WT.unt.3_71663	263		1668820	93.50	263
355045 WT.unt.2_59648	294		4466474	88.80	294
355097 WT.unt.2_57706	294		266421	92.50	294
355175 WT.unt.4_79346	257		190084	98.10	257
355187 WT.unt.2_56593	280		289569	96.10	280
355440 WT.unt.1_48442	268		529506	95.90	268
355468 WT.unt.2_55928	293		529506	93.50	293
355746 WT.day3.11_676	244		522549	94.70	244
355771 WT.unt.4_73551	243		267411	94.20	243
355822 WT.unt.1_46297	293		529506	96.20	293
356164 WT.day3.14_23751	253		4348122	92.90	253
356226 WT.day3.11_1398	244		171617	91.40	244
356404 WT.unt.1_47436	294		273784	98.00	294
356590 WT.unt.1_47277	294		522863	94.20	294
356627 WT.unt.2_58524	249		512191	96.00	249
356657 WT.day3.15_30974	244		529506	90.60	244
359809 WT.unt.1_46922	293		4358761	95.90	293
359984 WT.unt.7_83785	294		258203	90.10	294
363731 WT.unt.1_46512	294		234298	98.30	294
367176 WT.unt.7_85195	294		263546	95.20	294
367977 WT.unt.2_62274	245		355162	95.10	245
372368 WT.day3.14_19032	294		182893	93.20	294
372906 WT.unt.7_85272	294		261016	98.00	294
375106 WT.unt.4_74302	294		185670	93.50	294
376516 WT.unt.1_53212	270		185258	96.70	270
376862 WT.unt.1_51288	294		16195	98.00	294
377946 WT.unt.4_78237	269		512191	95.20	269
379505 WT.unt.7_90847	253		522549	91.70	253
381666 WT.unt.1_46826	294		580168	90.50	294
382220 WT.unt.1_48432	293		529506	95.90	293
383971 WT.unt.2_61939	294		261016	97.30	294
383992 WT.unt.2_57408	294		760848	95.20	294
384555 WT.unt.1_46367	294		182893	90.50	294
386977 WT.unt.3_64573	293		309363	92.20	293
387615 WT.unt.1_45738	294		182420	97.30	294
3890155 WT.day3.9_43867	239		3882796	92.90	239
389282 WT.day3.11_328	244		522549	93.90	244
389529 WT.unt.1_49497	294		176499	92.20	294
3906666 WT.unt.1_45867	294		309693	89.10	294
390820 WT.unt.1_47582	294		3769033	93.90	294
397363 WT.unt.1_46499	294		182420	99.70	294
397444 WT.unt.4_77128	282		182420	96.10	282
398255 WT.unt.2_61252	272		182893	93.00	272
3985360 WT.day3.15_35547	244		559954	90.60	244
399245 WT.unt.1_53593	293		182630	96.20	293
400599 WT.unt.4_78705	270		181717	94.40	270
401384 WT.unt.1_47819	294		3302038	95.90	294
401717 WT.unt.1_45730	294		4323100	92.20	294
403497 WT.unt.2_54925	293		185258	94.90	293
404691 WT.unt.2_56397	294		267071	89.10	294
405780 WT.day3.14_20251	294		183051	92.20	294
407393 WT.unt.4_80911	236		182893	92.80	236
407963 WT.unt.2_57066	294		182420	96.90	294
408513 WT.unt.1_45840	294		3302038	96.30	294
411486 WT.day3.15_27248	228		518033	91.70	228
414089 WT.unt.1_46947	294		182420	95.20	294
415491 WT.unt.1_47245	294		529506	92.50	294
416078 WT.unt.1_45982	294		267007	94.20	294
416286 WT.unt.1_47216	294		261016	93.90	294
416341 WT.unt.4_77873	240		173306	95.80	240
418334 WT.unt.4_75658	259		266935	94.60	259
418501 WT.unt.1_46304	291		190026	98.60	291
4210142 WT.day3.13_9595	244		559954	94.70	244
421792 WT.unt.1_45589	294		522549	93.90	294
421893 WT.unt.1_45988	294		529506	92.20	294
422727 WT.unt.3_65144	294		181717	98.30	294
423455 WT.unt.1_48114	294		522549	91.20	294
423830 WT.unt.4_81287	279		529506	92.80	279
430194 WT.day3.14_21438	294		4466474	91.20	294
430219 WT.day3.15_31602	244		182893	93.90	244
4331760 WT.day3.11_2373	244		2594571	90.60	244
4333897 WT.day3.14_21843	223		559954	93.70	223
433676 WT.day3.15_35032	198	No search results.
4338227 WT.unt.2_57526	294		294169	89.50	294
434089 WT.unt.1_51133	294		182420	96.60	294
4340953 WT.day3.13_16599	244		559954	95.10	244
4343528 WT.unt.1_46841	269		263546	97.40	269
4344722 WT.day3.14_24047	293		559954	95.60	293
4354477 WT.day3.15_29005	195	No search results.
4364243 WT.unt.1_47659	294		529506	94.90	294
437137 WT.unt.2_57875	293		4358761	86.30	293
4375000 WT.day3.14_21762	258		559954	94.60	258
4378740 WT.unt.1_46975	293		192222	92.20	293
4392183 WT.day3.9_41651	244		559954	94.30	244
4402042 WT.unt.1_48797	294		297202	87.40	294
4402077 WT.unt.4_77046	294		526745	94.20	294
4403349 WT.unt.3_66930	264		263546	97.70	264
4405128 WT.unt.1_45954	294		580168	91.20	294
4407190 WT.unt.2_56600	293		189190	92.80	293
4407703 WT.unt.2_61140	293		4465473	89.40	293
440840 WT.unt.2_59030	283		512191	95.40	283
441468 WT.unt.7_83609	293		522863	95.60	293
441494 WT.unt.1_51191	294		314638	85.40	294
4416396 WT.unt.1_46642	294		148219	90.10	294
4417539 WT.unt.1_46988	294		333195	95.90	294
4420206 WT.unt.1_46986	294		3302038	92.90	294
4426298 WT.unt.2_58872	294		639310	86.10	294
4430561 WT.day3.11_532	244		559954	95.90	244
4432234 WT.unt.7_82152	294		301630	92.50	294
4432238 WT.unt.3_65199	294		4400480	94.20	294
4432841 WT.unt.3_65855	294		688883	89.50	294
443620 WT.unt.1_45633	294		263546	98.00	294
444241 WT.unt.1_52568	255		512191	93.30	255
4448331 WT.day3.14_25691	293		559954	95.20	293
4449518 WT.unt.1_47137	259		355162	94.20	259
444987 WT.unt.3_72477	266		185258	91.40	266
4455677 WT.unt.3_64965	294		159007	94.20	294
445575 WT.unt.4_74337	254		512191	96.10	254
446135 WT.unt.1_53595	294		290002	92.50	294
447141 WT.unt.3_68020	236		182893	94.50	236
4476780 WT.unt.1_49756	294		529442	92.90	294
447776 WT.unt.4_73130	294		512191	92.50	294
4480176 WT.unt.3_66877	293		289569	97.30	293
4481506 WT.unt.1_48763	294		161571	91.20	294
449353 WT.unt.1_46794	294		305127	98.60	294
449417 WT.unt.2_56151	294		261016	98.30	294
449833 WT.day3.11_1698	189	No search results.
450047 WT.unt.1_54461	293		512191	94.50	293
450399 WT.unt.4_75377	222		522863	90.50	222
452014 WT.unt.1_45891	294		263546	98.30	294
452823 WT.unt.7_87460	223		4413327	91.00	223
453405 WT.unt.1_45853	293		185258	100.00	293
457371 WT.unt.1_47378	293		190084	99.30	293
458550 WT.unt.2_57613	294		289569	96.90	294
459276 WT.unt.1_51645	294		512191	93.50	294
460611 WT.unt.4_74262	293		185258	97.30	293
460953 WT.unt.1_47423	250		522549	92.00	250
461487 WT.unt.7_89718	294		289569	96.60	294
461795 WT.unt.1_47934	294		263546	95.60	294
462764 WT.unt.4_75194	253		279306	88.50	253
463233 WT.unt.1_45611	294		161571	92.50	294
463794 WT.day3.9_36770	244		4413327	91.40	244
465433 WT.unt.1_50395	294		529442	91.80	294
466409 WT.unt.1_45794	294		529506	93.20	294
466811 WT.unt.4_77158	273		113924	95.60	273
510843 WT.unt.4_78872	223		522863	96.90	223
51677 WT.unt.7_87985	294		51677	97.30	294
518002 WT.day3.14_25593	243		559954	93.80	243
518967 WT.unt.1_47081	294		159007	99.00	294
519290 WT.unt.3_67992	270		639310	87.80	270
520931 WT.unt.4_79889	294		182420	91.80	294
521982 WT.day3.14_19266	272		529442	93.40	272
522433 WT.unt.1_47015	293		159007	98.30	293
522863 WT.unt.1_52132	294		522863	97.30	294
526665 WT.day3.13_18372	244		182420	92.20	244
529506 WT.unt.7_85396	293		529506	97.60	293
531339 WT.unt.2_59689	224		3302038	98.70	224
533847 WT.unt.1_45597	294		3302038	96.60	294
536989 WT.unt.2_61083	294		159007	98.00	294
539820 WT.day3.15_29162	244		3302038	97.50	244
549756 WT.unt.7_82312	272		1668820	92.60	272
551850 WT.day3.11_2995	237		559954	95.40	237
558014 WT.day3.14_20734	278		749805	94.60	278
558264 WT.day3.14_20977	293		201979	96.90	293
558444 WT.unt.2_57129	234		185258	99.10	234
560906 WT.unt.1_48422	294		4439488	87.40	294
563572 WT.unt.1_51290	294		183107	95.20	294
564140 WT.unt.3_72681	233		194286	96.10	233
564188 WT.unt.1_45942	294		197460	95.20	294
566243 WT.day3.13_9889	244		559954	95.90	244
572010 WT.day3.13_17301	244		572010	97.50	244
573061 WT.day3.9_40938	244		559954	93.40	244
573976 WT.day3.14_21536	294		241543	97.30	294
575041 WT.day3.13_12552	244		355162	94.70	244
577294 WT.day3.11_5874	244		194286	94.70	244
577512 WT.unt.1_48173	294		289569	97.30	294
578016 WT.day3.11_1509	243		194286	95.90	243
580629 WT.unt.1_49791	294		181532	92.50	294
581474 WT.unt.1_45691	293		1668820	92.80	293
581782 WT.day3.14_19409	293		559954	95.20	293
581933 WT.unt.3_71127	294		263546	95.90	294
583117 WT.day3.11_1481	244		183870	95.10	244
583500 WT.unt.1_52713	293		522863	96.90	293
584137 WT.unt.7_89555	267		529506	96.60	267
584765 WT.unt.2_54813	293		522863	96.60	293
584954 WT.day3.11_1099	244		366392	93.90	244
585073 WT.unt.4_73044	294		182420	93.90	294
585880 WT.unt.7_87839	247		51677	97.60	247
585914 WT.day3.11_61	243		194286	96.30	243
586453 WT.unt.2_55157	294		575681	88.80	294
588197 WT.unt.1_46949	293		4413327	92.20	293
588216 WT.day3.11_2513	190	No search results.
589071 WT.day3.11_8288	244		183870	99.60	244
589277 WT.day3.11_1952	244		3882796	93.00	244
591405 WT.unt.1_50447	294		159007	96.30	294
593043 WT.unt.7_81934	280		234298	98.60	280
609513 WT.day3.9_38580	244		199568	95.50	244
637934 WT.unt.1_53835	294		148219	89.80	294
640999 WT.unt.3_63965	293		159007	98.00	293
646499 WT.unt.3_67772	294		159007	95.90	294
647215 WT.unt.4_77868	262		3302038	96.60	262
652823 WT.unt.2_57923	294		182420	96.60	294
658370 WT.unt.4_73722	293		529506	97.60	293
659831 WT.unt.3_66229	293		185258	97.60	293
661055 WT.unt.2_57597	294		51677	96.60	294
683621 WT.unt.1_47411	294		327927	91.50	294
697874 WT.unt.4_73325	294		522863	95.20	294
701221 WT.unt.1_46905	294		297872	96.30	294
708285 WT.unt.1_52117	294		335759	93.50	294
708680 WT.unt.1_47653	260		526745	96.90	260
725198 WT.day3.11_5462	244		518033	93.00	244
729559 WT.unt.1_47016	279		273784	97.10	279
739826 WT.day3.13_15544	244		512191	96.70	244
741001 WT.unt.2_61237	259		261623	92.30	259
744023 WT.day3.13_10872	244		559954	95.50	244
759751 WT.unt.2_55356	293		512191	96.90	293
762699 WT.unt.4_79168	246		182420	98.40	246
769075 WT.unt.3_70126	294		289569	96.90	294
772282 WT.unt.7_85534	294		529442	91.80	294
780650 WT.unt.3_67745	294		1503693	98.60	294
782953 WT.day3.14_18831	293		559954	95.60	293
791522 WT.unt.4_75429	225		512191	97.80	225
797021 WT.unt.7_82486	294		522863	93.90	294
797229 WT.day3.11_66	244		559954	95.90	244
799034 WT.unt.3_70565	293		159007	96.90	293
801260 WT.unt.1_51433	294		812122	91.50	294
814501 WT.unt.7_82052	280		190084	98.20	280
816299 WT.day3.15_27384	218	No search results.
825939 WT.unt.2_58943	294		289569	93.90	294
826302 WT.unt.2_55701	293		522863	95.20	293
826382 WT.unt.1_45851	293		526745	92.20	293
826541 WT.unt.2_57462	294		159007	97.30	294
826624 WT.unt.4_76349	293		522863	96.90	293
827195 WT.unt.1_47192	294		16272	88.80	294
827497 WT.day3.13_13541	244		4438565	98.80	244
827522 WT.unt.3_68204	294		110660	94.90	294
827689 WT.unt.2_58161	293		522863	95.60	293
828230 WT.unt.3_71824	294		522863	96.30	294
828435 WT.day3.14_26560	292		849723	87.00	292
828708 WT.unt.1_45825	294		16272	90.10	294
829733 WT.day3.14_20107	293		657046	94.90	293
829851 WT.day3.11_502	244		4438565	100.00	244
830014 WT.unt.2_59982	293		522863	94.20	293
830189 WT.unt.1_46346	294		512191	92.20	294
831401 WT.day3.14_22955	293		4438565	95.20	293
831409 WT.day3.13_9799	244		512191	95.10	244
831922 WT.unt.4_75669	294		4400480	94.90	294
833458 WT.unt.1_52929	294		159007	95.90	294
835456 WT.unt.1_47871	294		159007	95.20	294
842596 WT.unt.1_47048	293		529506	95.20	293
844006 WT.unt.2_56768	222		151203	93.70	222
846141 WT.unt.7_83419	251		185258	97.60	251
846477 WT.unt.1_47681	244		522863	98.80	244
863682 WT.unt.2_55713	249		185258	99.60	249
879327 WT.day3.15_28034	244		512191	97.10	244
891031 WT.day3.14_23494	294		805194	92.50	294
893041 WT.day3.14_26753	228		366392	95.20	228
976470 WT.unt.4_74438	293		522863	96.90	293
New.CleanUp.ReferenceOTU1001 WT.unt.1_50158	294		542251	87.80	294
New.CleanUp.ReferenceOTU1010 WT.unt.2_56646	294		4375017	88.10	294
New.CleanUp.ReferenceOTU1011 WT.unt.2_59341	294		161571	87.80	294
New.CleanUp.ReferenceOTU1013 WT.unt.3_69187	283		182893	89.80	283
New.CleanUp.ReferenceOTU1015 WT.unt.3_69180	294		522549	93.90	294
New.CleanUp.ReferenceOTU1017 WT.day3.14_18860	274	No search results.
New.CleanUp.ReferenceOTU102 WT.day3.11_1687	244		559954	87.70	244
New.CleanUp.ReferenceOTU1020 WT.unt.7_82451	294		190026	87.10	294
New.CleanUp.ReferenceOTU1023 WT.unt.2_59903	294		522549	93.90	294
New.CleanUp.ReferenceOTU1024 WT.day3.11_1505	244		4358761	94.70	244
New.CleanUp.ReferenceOTU1026 WT.unt.7_84399	294		688883	90.50	294
New.CleanUp.ReferenceOTU1027 WT.day3.15_34291	244		4413327	91.40	244
New.CleanUp.ReferenceOTU1028 WT.unt.7_84394	294		267007	94.20	294
New.CleanUp.ReferenceOTU1029 WT.unt.1_52716	294		161571	85.40	294
New.CleanUp.ReferenceOTU1032 WT.unt.1_53175	292		233435	88.00	292
New.CleanUp.ReferenceOTU1035 WT.unt.2_61292	294		352906	89.10	294
New.CleanUp.ReferenceOTU1044 WT.unt.4_73399	294		522863	89.80	294
New.CleanUp.ReferenceOTU1053 WT.unt.3_66211	294		4466474	90.50	294
New.CleanUp.ReferenceOTU1059 WT.unt.7_88099	294		303937	93.50	294
New.CleanUp.ReferenceOTU1060 WT.unt.4_75307	278		311952	94.60	278
New.CleanUp.ReferenceOTU1070 WT.unt.3_71035	294		3302038	90.10	294
New.CleanUp.ReferenceOTU1078 WT.unt.3_67327	294		190026	90.80	294
New.CleanUp.ReferenceOTU108 WT.day3.13_17159	244		182893	86.50	244
New.CleanUp.ReferenceOTU1081 WT.unt.1_52449	294		309363	93.50	294
New.CleanUp.ReferenceOTU1087 WT.unt.2_58957	294		529506	94.20	294
New.CleanUp.ReferenceOTU1093 WT.unt.1_50556	294		263546	94.90	294
New.CleanUp.ReferenceOTU1095 WT.unt.1_47470	294		144333	89.10	294
New.CleanUp.ReferenceOTU1098 WT.day3.13_18500	244		182420	96.30	244
New.CleanUp.ReferenceOTU1101 WT.unt.4_73225	289		522549	91.30	289
New.CleanUp.ReferenceOTU1103 WT.day3.13_16453	243		183870	95.90	243
New.CleanUp.ReferenceOTU1105 WT.unt.1_48626	294		522549	90.50	294
New.CleanUp.ReferenceOTU1107 WT.unt.1_48191	294		267007	90.10	294
New.CleanUp.ReferenceOTU1109 WT.unt.2_58174	271		341023	91.50	271
New.CleanUp.ReferenceOTU111 WT.unt.4_78834	294		529506	89.10	294
New.CleanUp.ReferenceOTU1118 WT.unt.4_74305	294		4401294	86.40	294
New.CleanUp.ReferenceOTU112 WT.unt.3_66115	294		4466474	90.50	294
New.CleanUp.ReferenceOTU1124 WT.unt.4_79987	294		267007	92.50	294
New.CleanUp.ReferenceOTU1129 WT.unt.7_86714	294		4466474	89.80	294
New.CleanUp.ReferenceOTU1131 WT.unt.1_47505	294		851865	91.80	294
New.CleanUp.ReferenceOTU1132 WT.unt.2_62277	294		181532	87.10	294
New.CleanUp.ReferenceOTU1133 WT.day3.13_12353	212	No search results.
New.CleanUp.ReferenceOTU1134 WT.unt.4_76182	293		161571	89.80	293
New.CleanUp.ReferenceOTU1136 WT.unt.3_64740	294		159007	96.30	294
New.CleanUp.ReferenceOTU1139 WT.unt.4_77324	294		263546	94.90	294
New.CleanUp.ReferenceOTU1140 WT.unt.4_73918	293		4406624	81.20	293
New.CleanUp.ReferenceOTU1157 WT.unt.3_69268	294		522549	88.10	294
New.CleanUp.ReferenceOTU1158 WT.unt.7_88428	294		266495	87.80	294
New.CleanUp.ReferenceOTU1163 WT.unt.2_59331	294		161571	89.80	294
New.CleanUp.ReferenceOTU1167 WT.day3.14_22550	241		4466474	85.50	241
New.CleanUp.ReferenceOTU1176 WT.unt.3_65761	233		340937	94.40	233
New.CleanUp.ReferenceOTU1177 WT.unt.7_89147	294		512191	95.20	294
New.CleanUp.ReferenceOTU1187 WT.day3.14_24090	282		183870	91.80	282
New.CleanUp.ReferenceOTU1188 WT.unt.4_80952	294		529442	90.50	294
New.CleanUp.ReferenceOTU119 WT.day3.15_31899	244		194286	86.10	244
New.CleanUp.ReferenceOTU1190 WT.unt.1_50366	294		522549	90.10	294
New.CleanUp.ReferenceOTU1191 WT.unt.4_81132	292		182893	87.00	292
New.CleanUp.ReferenceOTU1199 WT.unt.2_60647	267		185258	99.30	267
New.CleanUp.ReferenceOTU12 WT.unt.7_83321	294		589920	88.40	294
New.CleanUp.ReferenceOTU1206 WT.unt.2_60083	294		4466474	90.80	294
New.CleanUp.ReferenceOTU1207 WT.unt.1_46068	294		13932	88.80	294
New.CleanUp.ReferenceOTU1208 WT.unt.3_66687	294		182893	89.10	294
New.CleanUp.ReferenceOTU1212 WT.unt.3_66206	294		529442	91.20	294
New.CleanUp.ReferenceOTU1213 WT.day3.14_25233	294		292052	86.40	294
New.CleanUp.ReferenceOTU122 WT.day3.14_25558	294		183870	90.80	294
New.CleanUp.ReferenceOTU1220 WT.unt.7_82957	269		529442	92.20	269
New.CleanUp.ReferenceOTU1223 WT.unt.1_53722	293		185258	95.60	293
New.CleanUp.ReferenceOTU1229 WT.day3.13_17406	244		182893	92.60	244
New.CleanUp.ReferenceOTU1230 WT.day3.9_40117	231		181532	83.50	231
New.CleanUp.ReferenceOTU1232 WT.unt.2_57762	294		4466474	87.80	294
New.CleanUp.ReferenceOTU1234 WT.day3.14_21706	294		306695	89.10	294
New.CleanUp.ReferenceOTU1235 WT.unt.3_67132	294		522863	91.20	294
New.CleanUp.ReferenceOTU1238 WT.unt.4_74488	249		512191	94.80	249
New.CleanUp.ReferenceOTU1239 WT.unt.2_60006	294		341023	90.80	294
New.CleanUp.ReferenceOTU124 WT.unt.7_85697	294		161571	89.10	294
New.CleanUp.ReferenceOTU1240 WT.day3.14_22821	236		183870	91.10	236
New.CleanUp.ReferenceOTU1243 WT.day3.13_14289	244		4358761	91.80	244
New.CleanUp.ReferenceOTU1244 WT.unt.7_87791	293		522863	90.10	293
New.CleanUp.ReferenceOTU1264 WT.day3.14_20794	294		816512	92.50	294
New.CleanUp.ReferenceOTU1271 WT.unt.1_47239	294		522863	91.20	294
New.CleanUp.ReferenceOTU1273 WT.day3.9_38781	244		3882796	88.10	244
New.CleanUp.ReferenceOTU1274 WT.unt.1_51397	294		183870	93.50	294
New.CleanUp.ReferenceOTU1276 WT.unt.4_80608	280		113924	95.70	280
New.CleanUp.ReferenceOTU1289 WT.unt.1_48052	294		272428	89.80	294
New.CleanUp.ReferenceOTU1290 WT.unt.2_58749	294		4466474	92.50	294
New.CleanUp.ReferenceOTU1292 WT.unt.4_76402	294		512191	90.80	294
New.CleanUp.ReferenceOTU1296 WT.unt.4_77133	294		512191	93.50	294
New.CleanUp.ReferenceOTU1297 WT.day3.14_24893	285	No search results.
New.CleanUp.ReferenceOTU1299 WT.unt.3_70553	294		233435	92.90	294
New.CleanUp.ReferenceOTU13 WT.unt.1_48022	294		529442	89.10	294
New.CleanUp.ReferenceOTU130 WT.unt.7_85767	294		4466474	92.50	294
New.CleanUp.ReferenceOTU1302 WT.unt.3_72402	294		516290	88.10	294
New.CleanUp.ReferenceOTU131 WT.unt.3_66606	294		161571	91.80	294
New.CleanUp.ReferenceOTU1310 WT.unt.3_72209	294		760848	92.90	294
New.CleanUp.ReferenceOTU1316 WT.unt.4_75575	294		182893	90.10	294
New.CleanUp.ReferenceOTU1319 WT.day3.15_32130	244		3302038	93.40	244
New.CleanUp.ReferenceOTU132 WT.day3.15_30147	244		816512	89.30	244
New.CleanUp.ReferenceOTU1320 WT.unt.3_65971	294		190026	94.20	294
New.CleanUp.ReferenceOTU1321 WT.day3.11_7754	244		306695	93.90	244
New.CleanUp.ReferenceOTU1322 WT.unt.4_78281	293		529506	93.50	293
New.CleanUp.ReferenceOTU1326 WT.unt.7_86831	294		522863	89.50	294
New.CleanUp.ReferenceOTU133 WT.unt.7_85763	294		529506	93.90	294
New.CleanUp.ReferenceOTU1330 WT.unt.3_65576	294		196984	87.80	294
New.CleanUp.ReferenceOTU1331 WT.unt.2_62739	294		192701	89.50	294
New.CleanUp.ReferenceOTU1332 WT.unt.4_78849	294		289569	93.50	294
New.CleanUp.ReferenceOTU1334 WT.unt.3_63938	294		522549	91.80	294
New.CleanUp.ReferenceOTU1340 WT.unt.4_81387	294		529442	88.80	294
New.CleanUp.ReferenceOTU1341 WT.unt.1_49701	294		522549	91.20	294
New.CleanUp.ReferenceOTU1343 WT.unt.2_59747	293		185258	94.90	293
New.CleanUp.ReferenceOTU1345 WT.unt.2_56029	294		330831	83.30	294
New.CleanUp.ReferenceOTU1356 WT.unt.7_90110	294		522549	86.40	294
New.CleanUp.ReferenceOTU1358 WT.unt.3_71544	294		157064	89.10	294
New.CleanUp.ReferenceOTU1359 WT.unt.1_45817	293		529506	96.20	293
New.CleanUp.ReferenceOTU136 WT.unt.7_84344	227		3302038	96.90	227
New.CleanUp.ReferenceOTU1360 WT.unt.2_61382	294		161571	92.20	294
New.CleanUp.ReferenceOTU1363 WT.day3.11_1560	244		366392	93.40	244
New.CleanUp.ReferenceOTU1367 WT.unt.1_53485	293		289569	96.20	293
New.CleanUp.ReferenceOTU137 WT.unt.2_59494	288	No search results.
New.CleanUp.ReferenceOTU1374 WT.day3.11_4531	244		529442	93.40	244
New.CleanUp.ReferenceOTU1375 WT.unt.4_76880	293		522863	91.80	293
New.CleanUp.ReferenceOTU1376 WT.unt.4_76883	294		144333	88.40	294
New.CleanUp.ReferenceOTU1384 WT.unt.2_62818	293		266421	93.50	293
New.CleanUp.ReferenceOTU1388 WT.day3.11_6661	244		4358761	91.80	244
New.CleanUp.ReferenceOTU1390 WT.unt.4_74568	293		529506	95.20	293
New.CleanUp.ReferenceOTU1391 WT.unt.1_45800	294		351478	94.20	294
New.CleanUp.ReferenceOTU1394 WT.unt.1_50827	294		267007	93.50	294
New.CleanUp.ReferenceOTU1398 WT.unt.3_71494	233		340937	93.60	233
New.CleanUp.ReferenceOTU1400 WT.unt.4_74817	288		182420	95.50	288
New.CleanUp.ReferenceOTU1405 WT.unt.7_89595	293		185258	96.20	293
New.CleanUp.ReferenceOTU1406 WT.unt.3_68450	294		4439488	88.10	294
New.CleanUp.ReferenceOTU141 WT.day3.9_40862	244		4358761	91.40	244
New.CleanUp.ReferenceOTU1415 WT.day3.14_25117	246		529442	92.30	246
New.CleanUp.ReferenceOTU1417 WT.unt.4_74965	272		529506	95.20	272
New.CleanUp.ReferenceOTU1423 WT.day3.13_15365	244		161571	89.80	244
New.CleanUp.ReferenceOTU1424 WT.day3.14_26245	294		182893	90.50	294
New.CleanUp.ReferenceOTU1426 WT.unt.3_69679	289		522863	93.40	289
New.CleanUp.ReferenceOTU1431 WT.day3.11_4822	244		194286	89.80	244
New.CleanUp.ReferenceOTU1435 WT.day3.13_9777	244		182893	95.10	244
New.CleanUp.ReferenceOTU1437 WT.unt.4_75212	294		522549	90.80	294
New.CleanUp.ReferenceOTU1438 WT.day3.14_23772	272		529442	91.20	272
New.CleanUp.ReferenceOTU1439 WT.unt.7_89769	294		267007	89.10	294
New.CleanUp.ReferenceOTU1441 WT.unt.7_86000	294		3302038	95.90	294
New.CleanUp.ReferenceOTU1445 WT.unt.2_63079	293		512191	95.90	293
New.CleanUp.ReferenceOTU1459 WT.day3.9_37950	244		529442	94.70	244
New.CleanUp.ReferenceOTU1460 WT.unt.7_86147	294		522549	91.80	294
New.CleanUp.ReferenceOTU1461 WT.unt.7_88962	265		182893	92.10	265
New.CleanUp.ReferenceOTU1462 WT.day3.9_42457	244		4358761	90.20	244
New.CleanUp.ReferenceOTU1467 WT.unt.4_72751	275		182420	95.30	275
New.CleanUp.ReferenceOTU1471 WT.day3.13_10602	244		246387	91.80	244
New.CleanUp.ReferenceOTU1473 WT.unt.2_63046	273		522863	97.10	273
New.CleanUp.ReferenceOTU1476 WT.unt.2_62388	234		568309	89.30	234
New.CleanUp.ReferenceOTU1478 WT.unt.3_71011	294		306695	91.20	294
New.CleanUp.ReferenceOTU148 WT.unt.7_85187	291		95957	84.90	291
New.CleanUp.ReferenceOTU1486 WT.unt.4_76052	294		267411	99.30	294
New.CleanUp.ReferenceOTU1488 WT.unt.1_45744	294		181717	94.20	294
New.CleanUp.ReferenceOTU149 WT.unt.7_85501	294		4375017	96.30	294
New.CleanUp.ReferenceOTU1490 WT.unt.7_86734	294		522863	91.80	294
New.CleanUp.ReferenceOTU1494 WT.day3.15_33413	244		518033	89.30	244
New.CleanUp.ReferenceOTU1498 WT.unt.3_64787	294		159007	98.30	294
New.CleanUp.ReferenceOTU1499 WT.unt.4_77676	294		516290	90.80	294
New.CleanUp.ReferenceOTU1502 WT.unt.4_79898	290		529506	88.30	290
New.CleanUp.ReferenceOTU1508 WT.unt.2_55305	294		216888	94.60	294
New.CleanUp.ReferenceOTU1509 WT.unt.2_55303	294		4466474	88.40	294
New.CleanUp.ReferenceOTU151 WT.unt.1_46196	294		148219	90.80	294
New.CleanUp.ReferenceOTU1511 WT.unt.3_65561	266		516290	91.00	266
New.CleanUp.ReferenceOTU1513 WT.unt.3_71162	294		529506	93.90	294
New.CleanUp.ReferenceOTU152 WT.day3.15_29949	244		298161	89.80	244
New.CleanUp.ReferenceOTU1522 WT.unt.4_79524	266		529506	95.50	266
New.CleanUp.ReferenceOTU1523 WT.unt.4_79523	294		4466474	87.80	294
New.CleanUp.ReferenceOTU1529 WT.unt.1_49020	235		568309	88.50	235
New.CleanUp.ReferenceOTU1530 WT.unt.3_64942	294		182893	88.40	294
New.CleanUp.ReferenceOTU1539 WT.unt.1_48691	294		522549	86.70	294
New.CleanUp.ReferenceOTU1540 WT.day3.13_12636	244		183870	90.60	244
New.CleanUp.ReferenceOTU1541 WT.unt.2_57438	294		306695	89.10	294
New.CleanUp.ReferenceOTU1554 WT.day3.11_6412	244		232888	90.20	244
New.CleanUp.ReferenceOTU1563 WT.unt.7_81829	294		2594571	92.90	294
